title,genres,poster,description,rating,release
Staying Alive (2012 film),Drama,https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Staying_Alive.jpg/220px-Staying_Alive.jpg,A newspaper sub-editor  Aditya (Ananth Mahadevan) suffers his third heart attack and finds himself in the ICU of a hospital. On the bed next to him is Shaukat Ali (Saurabh Shukla)  a gangster who has suffered his first heart attack. While Aditya scoffs at death  Ali is terrified of dying. The movie is his journey of realising death is inevitable and the greatest feeling is to simply be alive.,5.7,03-02-2012
Paan Singh Tomar (film),Action|Biography|Crime,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Paan_Singh_Tomar_Poster.jpg/220px-Paan_Singh_Tomar_Poster.jpg,Paan Singh Tomar is a Hindi-language film  based on the true story of a runner employed by the Army and has won Gold medal at Indian National Games but forced to become notorious baaghi. It is directed by Tigmanshu Dhulia.,8.2,02-03-2012
Kahaani,Mystery|Thriller,https://upload.wikimedia.org/wikipedia/en/f/f2/Kahaani_poster.jpg,Kolkata is abuzz with the preparations for the annual Durga Puja festival  as seven months pregnant Vidya Bagchi steps off the airplane from London. Her first stop is the local police station to file a missing person report. Weeks ago  her husband Arnab arrived in India for a job assignment. The first two weeks  they talked daily on the phone  and then without explanation  his calls stopped. Everywhere Vidya turns  no one can remember Arnab. There is no trace of him at the guest house or his workplace. But Vidya will not give up her search. Somewhere in Kolkata she will discover the dangerous truth.,8.1,09-03-2012
Zindagi Tere Naam,Romance,https://upload.wikimedia.org/wikipedia/en/thumb/e/e9/Zindagi_Tere_Naam.jpg/220px-Zindagi_Tere_Naam.jpg,Mr. Singh  an elderly gentleman  relates to his wife  whose memory is fading  the story of two lovers. In the story  the lovers face great difficulties but eventually emerge victorious.,4.7,16-03-2012
Agent Vinod (2012 film),Action|Adventure|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Agent_Vinod_2.jpg/220px-Agent_Vinod_2.jpg,In Pakistan's Khyber Pakhtunkhua  RAW Agent Vinod (Saif Ali Khan) is rescued by colleague Rajan (Ravi Kishan) from a rogue Pakistani army officer (Shahbaz Khan). In Russia/Uzbekistan  an ex-KGB Officer is tortured and murdered. In Cape Town  a group of international business tycoons discusses a rumor that the dead KGB officer possessed a nuclear suitcase bomb. In Moscow  Rajan is exposed and shot dead while trying to send a Code Red message to India. In India  the head of RAW sees the incomplete message containing just number 242. Agent Vinod undertakes a globe-trotting secret mission to discover the reason why his colleague  Rajan  was murdered. A series of twists and turns take Vinod across the globe to Morocco and Latvia  Karachi to Delhi and finally London where he discovers the actual conspiracy.,5.1,23-03-2012
Blood Money (2012 film),Action|Drama|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Blood_Money_Poster_2.jpg/220px-Blood_Money_Poster_2.jpg,The film is about a young and simple man  Kunal played by Kunal Khemu who is in love with Arzoo played by Amrita Puri  however her parents do not allow her to marry him  as he is unsuccessful. Runing away to get married. Kunal shifts to Cape Town and starts to work in a small business of diamond-exporting. Kunal slowly is dragged into the under hand dealing of the diamond trading company.,5.1,30-03-2012
Bumboo,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Bumboo_-_Poster.jpg/220px-Bumboo_-_Poster.jpg,"Bumboo movie is based on one simple idea. Every person meets someone  who screws it up and makes life miserable (In the 'Bambaiyya' lingo it is called as 'Vaat Lagna'). In Bumboo the movie each character screws someone or the others happiness. Each situation is humorous and ends up into comedy of errors. Bumboo is based upon ""L'emmerduer"" which is by Francis Veber.",7.2,30-03-2012
Valentine's Night,Romance|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Valentine%27s_Night.jpg/220px-Valentine%27s_Night.jpg,,2.7,10-02-2012
Married 2 America,Thriller,,Ravi Malhotra  an NRI living in the US  works for the mighty Larson & Jason  a US based multinational  which builds huge civil projects throughout the world like dams & bridges. One of its recent contracts was in India  the Dharbhanga Dam project in Bihar at District Saurabhpur... it was planned & executed with a hundred year warranty  by their top architect & engineer Ravi Malhotra. But within a few years three of the dam's gates are burst open  leaving hundreds of people dead  thousands are rendered homeless & public property worth crores washed down in floods. The Indian government is contemplating suing the company for damages worth millions. The company sends Ravi Malhotra to India to probe & investigate what exactly caused the damage. Ravi finds out the shocking truth & hands over the file to the concerned authorities here. Since that night he goes missing. The authorities & the police feel he has escaped to evade arrest as the Indian government & the law holds Ravi & his ...,4.3,03-02-2013
Chaar Din Ki Chandni,Comedy|Romance,,Chandini comes to India to attend Veer's sisters wedding. In those four days  she wins everyone's heart.,4.1,09-03-2012
Bittoo Boss,Romance,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/Bittoo_Boss_-_2012_Movie_Poster.png/220px-Bittoo_Boss_-_2012_Movie_Poster.png,"Bittoo Boss' is a young charming  ingenious and a fun filled wedding cameraman who takes pride in calling himself a ""Sesky Video Shooter"". He is the star of all wedding celebrations of Anandpur Sahib  a small town in Punjab. Bittoo believes in spreading happiness through the beautiful moments he captures  moments which you can rewind and keep watching for years and smile looking at them thus making them heartfelt experiences which last forever. He falls in love with an educated and strong-headed girl who makes him realize the importance of financial stability and monetary gains in order to gain respect and recognition. Smitten in love and bitten by the one he loves  the smart and righteous cameraman is lured to take a shortcut in order to earn a quick buck and get his life back on track. What follows is a madcap ride.",4.1,13-04-2012
Vicky Donor,Comedy|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Vicky_Donor_Poster.jpg/220px-Vicky_Donor_Poster.jpg,Dr. Baldev Chaddha (Anu Kapoor)  a well qualified fertility expert  runs a fertility clinic and a sperm bank in Dariyaganj  New Delhi  that guarantees a high quality and specialized sperm for the purpose. Unfortunately he has more failed cases to his credit than successes. A healthy  high performing donor is the need of the hour. Vicky Arora (Ayushmann Khurrana)  a young  good-looking  Punjabi boy from Lajpat Nagar  is the only son and of no financial support to Dolly  a widow  who runs a small beauty parlor from home. As luck would have it  a small brawl in the colony brings Dr Chaddha and Vicky  face to face  where Chaddha  concludes that Vicky could be THAT donor he has been looking for. From here on  Chaddha's days and nights are spent in convincing Vicky to become a donor till he finally gives in. Vicky finds his love interest in Ashima Roy (Yami Gautam)  a pretty Bengali girl  who works in a Bank. But soon there hunky dory world comes crashing down because of Vicky's past as a ...,7.8,20-04-2012
Hate Story,Drama|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Hate_Story_Film_Poster.jpg/220px-Hate_Story_Film_Poster.jpg,After a powerful businessman has her baby forcefully aborted  Kaavya Krishna uses her body as a sexual weapon to destroy his empire  brick by brick.,5.3,20-04-2012
Tezz,Action|Crime|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Tezz_Movie_First_Look.jpg/220px-Tezz_Movie_First_Look.jpg,To revenge his past  Aakash Rana plants bomb in a train endangering lives of 500 passengers.,3.9,26-04-2012
Dangerous Ishhq,Fantasy|Mystery|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Dangerous_Ishhq_Poster.jpg/220px-Dangerous_Ishhq_Poster.jpg,Three doppelgangers(one girl+ two boys).Two of them loves each other and get together from many lives .And the third one(who can't be killed easily)also wants the girl and he tries to separate them through many lives.,3.9,11-05-2012
Ishaqzaade,Action|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Ishaqzaade.jpg/220px-Ishaqzaade.jpg,Rising from the ashes of hooliganism and small town wars  comes a passionate love story ignited by hatred. A story of two people who were born to hate but destined to love. One kingdom. One throne. Two wild animals. One totally unpredictable and the other - ferocious. A battle  deafened by the sounds of hate  revenge  bullets and deceit. A story about two fiery bloods played by Arjun Kapoor and Parineeti Chopra  and their fight for power and supremacy. A love story brewing in a small town - burning with hatred.,6.5,11-05-2012
Department (film),Action|Crime|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/Department_movie_poster.jpg/220px-Department_movie_poster.jpg,A suspended cop joins hands with inspector Mahadev Bhonsle to free the city from underworld.,3.2,18-05-2012
Fatso!,Comedy|Fantasy|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Fatso_2012_poster.jpg/220px-Fatso_2012_poster.jpg,They say that matches are made in heaven. This is one of those films where they are undone in heaven! But then again  that's the strange thing about love: just when the worst has happened  the best happens almost like the nightmare never took place  almost like love is undeniable  almost like love and hope are two faces of the same coin. Nandini (Gul Panag) fell in love once and then life happened--shattering every belief that she had about love. And then  just as she was ready to give up on love  she fell in love  all over again! Hysterical  intelligent  honest  Fatso is all about love packaged in with a calorie count!,5.7,04-05-2012
Arjun: The Warrior Prince,Action|Adventure|Animation,https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/Arjun_film_poster.jpg/220px-Arjun_film_poster.jpg,Legend knows him as an archer of unwavering focus  the soldier who fought a battle in his own heart before taking up arms against his enemy. This is the untold story of Arjun  hero of the Mahabharata. A precocious talent plunged from boyhood and innocence into a murky world of deceit and betrayal  coming of age to become the most powerful warrior of his time. From the dusty plains of Hastinapur to the icy peaks of the Himalayas  Arjun: The Warrior Prince is the story of a man discovering what it takes to be a hero.,6.8,25-05-2012
Life Ki Toh Lag Gayi,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Life_Ki_Toh_Lag_Gayi_-_Poster.jpg/220px-Life_Ki_Toh_Lag_Gayi_-_Poster.jpg,A one-day journey of four different people struggling in the city of Mumbai. One with vengeance  one on a mission  one with hope and one looking to con.,5.5,20-04-2012
Shanghai (2012 film),Crime|Mystery|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Shanghai_Poster.jpg/220px-Shanghai_Poster.jpg,Prime leader of a campaign against a big government project is killed in what appears to be a road accident. An IAS officer is ordered to probe the incident and the veils of falsehood begin to drop.,7.2,08-06-2012
Ferrari Ki Sawaari,Comedy|Drama|Family,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Ferrari_ki_sawaari.jpg/220px-Ferrari_ki_sawaari.jpg,How the pursuit of an Indian cricket legend's Ferrari makes a young boy's dreams of playing cricket at Lords a reality.,6.4,15-06-2012
Teri Meri Kahaani (film),Comedy|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Teri_Meri_Kahaani_poster.jpg/220px-Teri_Meri_Kahaani_poster.jpg,The true love between a couple in 1910  1960 and 2012. Their love is so strong that even destiny wants to bring them together.,4.7,22-06-2012
Mr. Bhatti on Chutti,Comedy,https://upload.wikimedia.org/wikipedia/en/b/b1/Mr._Bhatti_On_Chutti.jpg,Mr Bhatti is a delusional character who wins a trip to the Lake District out of the blue  he comes over  with a group of Indian tourists visiting the Lake District. Bhatti is under the impression that he has been called over by George W.Bush  for supposed peace talks being the delusional man he is. But its not just the scenery and the possible meeting with Bush  which attracts Bhattis interest. Alice an English girl also catches his eye.Alice has spent six months in India and is into meditation  bhajans and yoga. Perfect!But although Bhatti is immediately fascinated with Alice  so too is Prem  an eligible bachelor  also travelling with the group.Bhatti knows that Prem isnt a nice guy  so hes determined to protect Alice in every way he can. This leads to a meditative war between Bhatti and Prem. Alice pays more attention to the older man  Bhatti  however Prem is determined to win over Alice with the help of Priya. Priya is the daughter of one of the touring couple the Shahs  and when ...,4,18-04-2012
Yeh Khula Aasmaan,Family,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Yeh_Khula_Aasmaan.jpg/220px-Yeh_Khula_Aasmaan.jpg,Yeh Khula Aasmaan revolves around Avinash  an intelligent young boy who is going through a very demanding and challenging phase of his life. He has to cope with the pressures of academic failure  not living up to his parents' expectations and the isolation of his parents living thousands of miles away. He then turns to his grandfather  a star Kite Runner  who helps Avinash learn to cope with this tough time in his life through life lessons during kite flying sessions. Avinash forges new friendships and rediscovers the love of family in this relationship based film.,6.9,25-04-2012
Rakhtbeej,Thriller,,Rakhtbeej is the story of two men  from two different generations. Even though their worlds are different their lives keep intersecting. Abhay Jatav from humble beginnings  ends up becoming the most dreaded dacoit in UP. Ajay also from humble beginings  becomes the CEO of Dabral Group of Industries  at a very young age. Abhay knows Sarita from a long time  and Sarita is in love with Abhay. But when a simple village girl Poonam enters Ahbay's life he totally forgets about Sarita. Sanjana  Dabral's daughter is in love with Ajay from a long time. But when supermodel Priya enters his life  he is blinded by her love. Abhay goes out of his way to help Maya Singh win the village elections. But Maya Singh later backstabs Abhay. Abhay loose his friends and those dear to him and this changes his fate forever. Ajay trusts Dharam  his competitor in business and love  but Dharam backstabs him. Abhay becomes a victim of Politics  Police and Dacoits  while Ajay is the victim of business rivalry. ...,3.1,25-05-2012
Gangs of Wasseypur,Action|Comedy|Crime,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/Gangs_of_wasseypur.jpg/220px-Gangs_of_wasseypur.jpg,Shahid Khan is exiled after impersonating the legendary Sultana Daku in order to rob British trains. Now outcast  Shahid becomes a worker at Ramadhir Singh's colliery  only to spur a revenge battle that passes on to generations. At the turn of the decade  Shahid's son  the philandering Sardar Khan vows to get his father's honor back  becoming the most feared man of Wasseypur.,8.2,02-08-2012
Gangs of Wasseypur â€“ Part 2,Action|Comedy|Crime,https://upload.wikimedia.org/wikipedia/en/thumb/5/58/Gangs_of_wasseypur_II.jpg/220px-Gangs_of_wasseypur_II.jpg,Shahid Khan is exiled after impersonating the legendary Sultana Daku in order to rob British trains. Now outcast  Shahid becomes a worker at Ramadhir Singh's colliery  only to spur a revenge battle that passes on to generations. At the turn of the decade  Shahid's son  the philandering Sardar Khan vows to get his father's honor back  becoming the most feared man of Wasseypur.,8.2,02-08-2012
Cocktail (2012 film),Comedy|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Cocktail_2012_poster.jpg/220px-Cocktail_2012_poster.jpg,The story revolves around Gautam Khanna (Saif Ali Khan)  Veronica D'Costa (Deepika Padukone) and Meera Gupta (Diana Penty). Gautam Khanna (Saif Ali Khan) always had a dream to go to London and have a job. His dream is fulfilled and he gets a job. But his mom  Nita (Dimple Kapadia) says that she has to finalize his marriage to a girl and so he has to wait. She finds her perfect 'bahu' in Meera Gupta (Diana Penty). But she does not tell Gautam about this and tells Meera's parents even to not tell Meera. She tells Gautam to take her friend's daughter Meera as she has an assignment in London for 3 days. On the flight  Meera and Gautam befriend each other. In London  Meera has some problems completing her assignment and therefore fails to give it on time. She loses her job but then Gautam consoles her. They go on a beach party and there they meet Veronica D'Costa (Deepika Padukone). After some days of living with each other  Gautam falls in love with Veronica. But the thing that Gautam ...,6.3,13-07-2012
Gattu,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/5/52/Gattu_-_Poster.jpg/220px-Gattu_-_Poster.jpg,In a small town in central India  kids and adults are equally obsessed with kite-flying. The airspace is dominated by a black kite called Kali with mysterious origins. A street kid Gattu  dreams of defeating Kali but fails. He discovers that the local school has a roof which will give him a vantage point. Impersonating as a student he sneaks into the school and must now pretend to study. The only problem -- he is illiterate! Nonetheless  the little street urchin takes up the challenge. Dreams aren't impossible when the desire is strong.,7.3,30-11-2012
Kyaa Super Kool Hain Hum,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Kya_super_kool_hai_hum.jpg/220px-Kya_super_kool_hai_hum.jpg,Adi and Sid want to make big but always run out of luck and series of confusion start taking place when they reach Goa.,5,27-07-2012
Maximum (film),Action|Crime|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/Maximum_%28film%29_poster.jpg/220px-Maximum_%28film%29_poster.jpg,It's the story of two cops and their struggle to achieve maximum power. But they are not alone in this game  there are other players too  who are planning their next move at every level. Dreams  layers of emotions  betrayal and unpredictable twists - Maximum has it all.,4.9,29-06-2012
Paanch Ghantey Mien Paanch Crore,Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Paanch_Ghantey_Mien_Paanch_Crore_poster.jpg/220px-Paanch_Ghantey_Mien_Paanch_Crore_poster.jpg,The film tells the story of chartered accountant Vikram and his keep Soniya who are waiting for another Accountant Muqaadam to deliver 5 Crores Hard Cash at their Farm House. Vikram works for Sultan Corporation which is owned by Sultan. As soon as Muqaadam delivers the money  Vikram and Sonia plans to kill Muqaadam and escape to Singapore next day with 5 Crores to start a new life. Vikram and Soniya goes exactly by their plan. Enter Karan Oberoi whose car breaks down in front of Vikram's Farm House. Karan also happens to be Soniya's Junior Ex Classmate in her College. Then starts a Dirty Game of Love  Betrayal  Murder and Deciet. Three People with 5 Hours to go and with 5 Crores Hard Cash.,5.2,10-08-2012
Ek Tha Tiger,Action|Romance|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Ek_Tha_Tiger_theatrical_poster.jpg/220px-Ek_Tha_Tiger_theatrical_poster.jpg,In the dark world of intelligence and espionage  all information is guarded in the name of national security. But some stories escape the fiercely guarded classified files  stories that become legends. This is one such story  a story that shook the very foundation of this dark world. In a government employees' neighbourhood in New Delhi  there lived a rugged  handsome and mysterious bachelor about whom his neighbours knew nothing. That was because he was India's top spy  an officer with the Research and Analysis Wing (RAW)  India's external intelligence agency. This man was known even in official corridors as TIGER (Salman Khan). Tiger is sent on a relatively easy and safe mission to Dublin  Ireland to observe a scientist of Indian origin who is suspected of sharing his research findings with the Pakistan defence establishment. Tiger attempts to meet the scientist but is not successful. He tries to befriend the scientist's part time home caretaker  Zoya (Katrina Kaif). As Tiger begins...,5.5,15-08-2012
Challo Driver,Comedy,,When a rich spoilt brat's grandfather hires a female chauffer for him  the fun unfolds.,6,20-07-2012
Shirin Farhad Ki Toh Nikal Padi,Romance,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/SHIRIN_FARHAD_KI_TOH_NIKAL_PADI_poster.jpg/220px-SHIRIN_FARHAD_KI_TOH_NIKAL_PADI_poster.jpg,Farhad Pastakia (Boman Irani) has a dream job as a bra-and-panty salesman. Except that he is a 45-year old Parsi bachelor still living with his overbearing mother and grandmother. But it's not like he's stopped trying. Desperate to get him married  Farhad's mother drags him to see women and even to embarrassing Parsi matrimony services. In the midst of all the daily humdrum  Farhad meets the woman of his dreams: Shirin Fugawala ('Farah Khan')  who drops by his store. Shirin  who works at the Parsi Trust  hits it off with Farhad from the start. Everything seems to be perfect and Farhad gets ready to introduce Shirin to his mother. But mummy becomes the villain in their story when she discovers that Shirin is the devious Parsi Trust Secretary who got the illegal water tank in their home demolished. The water tank being the 'aakhri nishaani' of Farhad's late father doesn't help matters. The ups and downs in Shirin-Farhad's relationship and how the two try to make it work is the rest of ...,4.2,24-08-2012
Joker (2012 film),Comedy|Family|Sci-Fi,https://upload.wikimedia.org/wikipedia/en/thumb/2/27/Joker_2012_poster.jpg/220px-Joker_2012_poster.jpg,In 1947 when the maps of India and Pakistan were being drawn  an oversight ensured that the village of Paglapur didn't find a place in either country. The village had the distinction of housing the largest mental asylum in the region and in the mÃªlÃ©e that ensued during partition  the asylum inmates broke loose  drove away the villagers and established their own republic in Paglapur. And that's how it stayed for the next 60 years! While the world outside changed  Paglapur remained isolated  with no electricity  television or sanity. Now  decades after the world forgot this village  a NASA scientist of Indian origin  Agastya and his beautiful wife find themselves on the road to Paglapur. Agastya is working on a top secret project for creating a device to communicate with aliens. So why is he in a village whose colorful inhabitants include a man who speaks in gibberish  another who thinks he is a lamp post and everyone else who think Mahatma Gandhi is still around  fighting for ...,2.4,31-08-2012
Aalaap (film),Sci-Fi,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/AALAAP.jpg/220px-AALAAP.jpg,Artdirector Md asdulla khan,5.8,27-07-2012
Mere Dost Picture Abhi Baki Hai,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/MDPABHfilm.jpg/220px-MDPABHfilm.jpg,Amar Joshi (Sunil Shetty) sells his business in hope to become a film director. After meeting immoral producers and financers  he finds out that his journey won't be so easy.,3.5,20-07-2012
Krishna Aur Kans,Action|Adventure|Animation,https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/KRISHNA_AUR_KANS.gif/220px-KRISHNA_AUR_KANS.gif,"It is the story of Krishna  the destiny's child  born as the nemesis of brutal king Kans who had tormented the kingdom with his ruthless dominance. Growing up as a naughty prankster  Krishna from a very early age displays his valiant powers over the deadly demons send by Kans  whose frustrations grow as every death defying duel hails Krishna emerging as a real hero among his folks. Years of futile efforts to eliminate his nemesis at last compels Kans to invite Krishna for a decisive duel in the coliseum as the massive crowd breathlessly witnesses the final faceoff between good and evil. As an epic magnum opus  ""Krishna aur Kans"" promises a complete entertainment package. The pace and speed of the film aptly support the emergence of Krishna  the greatest legendary heritage character of India  that manages to keep the graph of excitement soaring till the end. Adding another magic touch to the package is the heartwarming music of the film. Krishna aur Kans as an animated feature film ...",6.3,03-08-2012
From Sydney with Love,Comedy|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/Poster_of_hindi_film_from_sydney_with_love.jpg/220px-Poster_of_hindi_film_from_sydney_with_love.jpg,"It was a dream come true for Meghaa Banerjee  a small town girl in West Bengal  India when she earned a scholarship from the prestigious University of New South Wales in Australia to pursue her Masters degree in Economics with inevitable butterflies in her stomach. She embarks upon her maiden expedition to Sydney leaving her protective shell and family behind. Coming from a conservative middle class background  life and culture in Sydney was an instant eye opener for her. Under guidance of her caring cousin Kalpana fondly called ""Kol""  Meghaa slowly embraces her new life in Sydney where she makes new set of friends  which includes cherubic Lubaina  prankster Raj  and narcissistic Suhail. Love and romance was something that was strictly not in her agenda of things. However being young at heart it was just something waiting to happen to her when she met Rohit - a charismatic  full of sheen and friendly natured fellow student in the University with whom she starts gelling right from the ...",6.2,31-08-2012
Jalpari: The Desert Mermaid,Drama|Family|Mystery,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Jalpari_film_poster.jpg/220px-Jalpari_film_poster.jpg,A well-heeled family from tony neighborhood of New Delhi travels from the city through dusty roads that lead into the village in Haryana  far out and buried in the debris of the past. Shreya  the tomboy of the family  finally arrives at her father's village for the first time during her vacations  that too after coaxing her father  Dev  to the best of her abilities. She and her brother  Sam  had  in their imagination  spun the village right out of a fairytale  replete with streams  lakes and grasslands that will allow them to run free. But all they find are dusty alleys  dried up ponds and hostile playmates until they spin their magic and befriend this unknown place  especially some of its people  like the Pehelwan and the gang of kids led by Ajithe. The story revolves around Shreya and Sam's adventures and misadventures which turn this dull place bereft of water into a land of enchantment  mischief and a million exciting exploits. But unknown places have many secrets  and here too  ...,7.2,01-10-2012
Barfi!,Comedy|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Barfi%21_poster.jpg/220px-Barfi%21_poster.jpg,Set in the 1970s in a pretty corner of India  Barfi. is the story of three young people who learn that love can neither be defined nor contained by society's norms of normal and abnormal. Barfi  a hearing and speech impaired boy falls in love with Shruti. In spite of her deep affection for Barfii  Shruti gives into societal and parental pressure to marry a 'normal' man and lead a 'normal' life. Many years later their paths cross once again when Barfi  now in love with Jhilmil  is on the run from the police. Barfi is desperately seeking Jhilmil  who has gone missing. Shruti's realization that Jhilmil is autistic makes her recognize that true love is really blind. Caught in a cat and mouse game  in the search for the girl Barfi loves  Shruti realizes that she is still in love with him.,8.1,14-09-2012
Heroine (2012 film),Drama,https://upload.wikimedia.org/wikipedia/en/6/64/Heroine_%282012_film%29_poster.jpg,After his incredible run of women-centric films from Chandni Bar  Page 3  Satta and Corporate to the blockbuster Fashion  Madhur Bhandarkar now turns his lens inwards and presents his most ambitious work yet - Heroine. The film is based on the life and times of a superstar heroine from the dream factory we call 'Bollywood'. The film is a daring  shocking  glamorous  scandalous behind the scenes account of the reality behind the world of glitz and glamour that our film stars inhabit. For a country obsessed with films and film stars  Heroine will take audiences on a voyeuristic journey to see what really goes on behind the closed doors of make up rooms and vanity vans. It will give them a chance to go beyond the gorgeous smiles and politically correct quotes  to see what really happens in the lives of India's sweethearts. The bitching and the politics  the secrets and the lies  the incredible highs of fame and the lonely depths of failure.,5.1,21-09-2012
Chal Pichchur Banate Hain,Comedy|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/6/60/Chal_Pichchur_Banate_Hain.jpg/220px-Chal_Pichchur_Banate_Hain.jpg,Suraj has everything any young man would kill for - an MBA  a well-paid job and an offer from UK with a salary of 5 000 pounds. But Suraj is no ordinary boy! He has only one passion - Cinema. His only dream is to be a film Producer-Director. He chooses passion over money and becomes a rebel. He produces a shocker to his family and friends  that he is quitting his job to follow his dream of film making. Being disowned by everyone and without any industry contacts  Suraj is left all alone to find his way in the big bad world of Bollywood.Suraj starts his career by putting posters alongside roads. He struggles as an assistant on the sets and has to face rejection from the industry  his friends  family and loved ones.Chal Pichchur Banate Hain is Suraj's passionate journey from an MBA to a filmmaker.,6.3,07-09-2012
Kismat Love Paisa Dilli,Adventure|Comedy|Crime,,Film is set in one winter night in Delhi where a middle class  Delhi university guy falls in love with a girl anchoring a fashion show. In process of wooing her someone plants a sting operation tape in his pocket. This sting operation has a minister talking of buying and selling MLAs and media heads from his Swiss bank accounts. Unknown to this he is chased by corrupt cops and good guys to get that tape back. Soon he gets to know of tape with him and it's high relevance. How this university student who always talked against corruption like any layman  now gets bribed himself by the big offer thrown by Minster's man constitutes the edge of the seat climax of story.,4.2,05-10-2012
Jeena Hai Toh Thok Daal,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/Jeena_Hai_Toh_Thok_Daal_Movie_Poster.jpg/220px-Jeena_Hai_Toh_Thok_Daal_Movie_Poster.jpg,Originating from the dark and gruesome underbelly of Bihar  Jeena Hai Toh Thok Daal is a story of the conscientious journey of four outlaws who set out to Mumbai for a mission. These four mercenaries who have grown up in the cradle of crime come from different age groups but are united in being the perfect hell raisers. Their freewheeling passion and addiction to thrill makes them take the route which very few can think of. In pursuit of one of such crimes  they set out to the city of dreams - Mumbai. Their ambitious plan comes to a screeching halt when one of them has a change of heart and their lives take an eventful turn. Is this the beginning of their transformation? Will they still complete the heinous crime which brought them to Mumbai? Or will they just become victims of fate and their sinister ambitions? Stuck in the quagmire of greed  politics and conspiracy  what does the fate has in store for these four guys?,6,14-09-2012
OMG â€“ Oh My God!,Comedy|Drama|Fantasy,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/OMG_Poster.png/220px-OMG_Poster.png,Kanji Lalji Mehta  though an atheist  owns a small shop selling religious goods  concocting cock-and-bull stories to extract higher fees from his customers for his wares. When  in openly defying God  an earthquake destroys his (and only his) only source of income  with the insurance company refusing to pay up on the basis of it being an 'act of God'  Kanjibhai takes God to the court. With many similarly unfortunate people pinning their hopes to him  Kanji's lack of courtroom experience may leave him unable to prove his point - that is  until approached by a man introducing himself as Krishna Vasudeva Yadav. Krishna helps Kanji win his case  his family and helps him find his faith in God  along the way showing how priests can turn religion into a business and that God can be found everywhere  particularly in a house of worship.,8.2,28-09-2012
Aiyyaa,Comedy|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Aiyyaa_poster.jpg/220px-Aiyyaa_poster.jpg,Wildly imaginative and film-obsessed  Meenakshi Deshpande has an extra sensitive nose. After she is hired to work in a local college's library  she catches a wonderful scent in the air. The source is Surya  a handsome and enigmatic art student from a Tamil family. Meanwhile  Meenakshi's eccentric Marathi family has arranged for her marriage to Madhav  a kind and sensible man. Meenakshi is torn between marrying her parents' choice for a seemingly ideal husband  or following her nose and chasing the hunky stranger who may or may not be all that he seems.,4.3,12-10-2012
Chittagong (film),Action|Drama|War,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Chittagongposter.jpg/220px-Chittagongposter.jpg,Set in the turbulence of the 1930s British India  a 14 year old boy  Jhunku  and his journey to find where he belongs. For the first time in Indian history  the British army is defeated by a ragtag army of schoolboys and their teacher  Masterda. Called a traitor by his peers  and let down by a man he trusts  Jhunku impulsively joins the movement. As his world is turned upside down  Jhunku is forced to confront his self-doubts. As the leaders of the movement are progressively caught or killed  Jhunku battles against seemingly insurmountable odds to win a victory of his own. The film is an exciting action-drama  made more so by the fact that it is true.,7.2,12-10-2012
